OCC_TITLE,ANNUAL_MEAN,A_PCT10,A_PCT25,A_PCT75
"Criminal Justice and Law Enforcement Teachers, Postsecondary",81730,38850,50770,99330
"Law Teachers, Postsecondary",130820,48760,73150,168210
"Social Work Teachers, Postsecondary",77650,36200,49990,98070
"Arts, Communications, History, and Humanities Teachers, Postsecondary",85110,38810,58060,100030
"Art, Drama, and Music Teachers, Postsecondary",86240,38090,49990,100130
"Communications Teachers, Postsecondary",84580,46640,60420,99330
"English Language and Literature Teachers, Postsecondary",82680,39230,51730,99330
"Foreign Language and Literature Teachers, Postsecondary",82990,46560,60550,99190
"History Teachers, Postsecondary",86460,39090,61070,101180
"Philosophy and Religion Teachers, Postsecondary",88260,39090,60670,100240
Miscellaneous Postsecondary Teachers,82100,37410,48840,100500
"Family and Consumer Sciences Teachers, Postsecondary",93230,48070,61350,106040
"Recreation and Fitness Studies Teachers, Postsecondary",79080,37630,49860,99150
"Career/Technical Education Teachers, Postsecondary",63130,36970,46910,76840
"Postsecondary Teachers, All Other",92200,37550,56550,123970
"Preschool, Elementary, Middle, Secondary, and Special Education Teachers",64870,37100,47910,77600
Preschool and Kindergarten Teachers,43060,23130,28900,49390
"Preschool Teachers, Except Special Education",36460,22840,28440,38620
"Kindergarten Teachers, Except Special Education",64490,38390,48100,76880
Elementary and Middle School Teachers,67030,44670,48480,77880
"Elementary School Teachers, Except Special Education",67080,43950,48450,77920
"Middle School Teachers, Except Special and Career/Technical Education",66880,45510,48540,77640
"Career/Technical Education Teachers, Middle School",69410,47040,52170,78260
Secondary School Teachers,69490,46260,48960,78770
"Secondary School Teachers, Except Special and Career/Technical Education",69530,46090,48830,78780
"Career/Technical Education Teachers, Secondary School",68960,47310,50130,78310
Special Education Teachers,68880,46180,49090,78510
"Special Education Teachers, Preschool",71970,37540,48450,85040
"Special Education Teachers, Kindergarten and Elementary School",67090,46400,48770,77920
"Special Education Teachers, Middle School",68860,46840,49120,78550
"Special Education Teachers, Secondary School",70100,47230,49850,79030
"Special Education Teachers, All Other",71330,38130,48350,82230
Other Teachers and Instructors,46490,23080,29210,50540
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",60650,35530,46620,76400
Self-Enrichment Teachers,49230,23860,29900,59920
"Substitute Teachers, Short-Term",38410,22270,25670,41570
Tutors,41780,23640,29230,47070
Miscellaneous Teachers and Instructors,62200,29640,44520,77230
"Teachers and Instructors, All Other",62200,29640,44520,77230
"Librarians, Curators, and Archivists",55520,29160,37360,64100
"Archivists, Curators, and Museum Technicians",58830,30450,38610,74150
Archivists,61880,36750,46350,76930
Curators,63880,35990,46590,76920
Museum Technicians and Conservators,52030,29130,36440,61420
Librarians and Media Collections Specialists,64180,37300,47960,77400
Library Technicians,39070,23370,29330,47160
Other Educational Instruction and Library Occupations,38620,22360,27570,46460
Farm and Home Management Educators,58040,30030,37140,67660
Instructional Coordinators,70560,38390,49750,80780
Teaching Assistants,32640,21930,24100,37210
"Teaching Assistants, Postsecondary",41170,22730,29670,49010
"Teaching Assistants, Except Postsecondary",31760,21890,24040,36970
Miscellaneous Educational Instruction and Library Workers,49650,23300,30130,60860
"Educational Instruction and Library Workers, All Other",49650,23300,30130,60860
"Arts, Design, Entertainment, Sports, and Media Occupations",66100,29010,37270,79200
Art and Design Workers,58910,28680,34930,75770
Artists and Related Workers,95330,37980,59890,125930
Art Directors,115430,57220,77490,135350
Craft Artists,40730,22760,28830,47170
"Fine Artists, Including Painters, Sculptors, and Illustrators",69010,19430,37310,96580
