OCC_TITLE,ANNUAL_MEAN,A_PCT10,A_PCT25,A_PCT75
Water and Wastewater Treatment Plant and System Operators,52320,30070,37720,60740
Miscellaneous Plant and System Operators,72540,38500,56510,91430
Chemical Plant and System Operators,69020,38340,48920,81250
Gas Plant Operators,76970,47470,61410,96200
"Petroleum Pump System Operators, Refinery Operators, and Gaugers",80500,51290,64350,98030
"Plant and System Operators, All Other",55480,29750,38070,66670
Other Production Occupations,41820,27870,30070,47800
"Chemical Processing Machine Setters, Operators, and Tenders",50760,30010,37350,60910
Chemical Equipment Operators and Tenders,52450,30180,37610,61690
"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",47060,29680,36750,54650
"Crushing, Grinding, Polishing, Mixing, and Blending Workers",41900,28990,31610,47720
"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",42790,29120,33240,48500
"Grinding and Polishing Workers, Hand",35990,24470,29750,38910
"Mixing and Blending Machine Setters, Operators, and Tenders",42490,29250,34090,47850
Cutting Workers,39300,28540,30200,46960
"Cutters and Trimmers, Hand",34330,23240,28100,37740
"Cutting and Slicing Machine Setters, Operators, and Tenders",40010,28990,31310,47280
"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",40050,28890,30280,47430
"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",43910,29310,36070,49200
"Inspectors, Testers, Sorters, Samplers, and Weighers",44810,28820,31540,49450
Jewelers and Precious Stone and Metal Workers,47090,27030,35490,58260
Dental and Ophthalmic Laboratory Technicians and Medical Appliance Technicians,44770,29230,33260,48980
Dental Laboratory Technicians,47320,29600,36160,57730
Medical Appliance Technicians,46320,30010,35940,49970
Ophthalmic Laboratory Technicians,38910,28080,30010,46210
Packaging and Filling Machine Operators and Tenders,36750,24960,29250,42050
Painting Workers,43480,29370,34780,48260
"Painting, Coating, and Decorating Workers",38250,26190,30010,45850
"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",43900,29460,35430,48480
Semiconductor Processing Technicians,45910,29830,36100,55910
Photographic Process Workers and Processing Machine Operators,40300,26170,29690,46460
Computer Numerically Controlled Tool Operators and Programmers,48500,30420,37770,59050
Computer Numerically Controlled Tool Operators,46240,30220,37510,50630
Computer Numerically Controlled Tool Programmers,62360,38290,48160,76540
Miscellaneous Production Workers,36920,23840,29050,44510
Adhesive Bonding Machine Operators and Tenders,38580,26920,29820,46480
"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",35820,25840,29250,38940
Cooling and Freezing Equipment Operators and Tenders,42910,29200,35150,48330
Etchers and Engravers,36970,23860,29460,43950
"Molders, Shapers, and Casters, Except Metal and Plastic",39020,28820,30270,46210
"Paper Goods Machine Setters, Operators, and Tenders",44180,29480,36390,48640
Tire Builders,47840,30500,37630,60110
Helpers--Production Workers,32910,22830,28260,37120
"Production Workers, All Other",36230,23700,28840,39530
Transportation and Material Moving Occupations,41340,23820,29520,47590
Supervisors of Transportation and Material Moving Workers,58630,36870,42880,70820
First-Line Supervisors of Transportation and Material Moving Workers,58630,36870,42880,70820
Aircraft Cargo Handling Supervisors,62080,38830,48180,79830
"First-Line Supervisors of Transportation and Material Moving Workers, Except Aircraft Cargo Handling Supervisors",58580,36820,42640,70160
Air Transportation Workers,119590,39450,60520,158870
Aircraft Pilots and Flight Engineers,169540,69470,100550,
"Airline Pilots, Copilots, and Flight Engineers",198190,100110,126470,
Commercial Pilots,115080,50080,75370,134110
Air Traffic Controllers and Airfield Operations Specialists,100510,38010,50190,148280
Air Traffic Controllers,127920,71880,90330,163700
Airfield Operations Specialists,54360,30770,37990,63350
Flight Attendants,62280,37020,48780,76920
Motor Vehicle Operators,44330,23860,30640,50700
"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",31060,22460,24320,34720
Driver/Sales Workers and Truck Drivers,45460,24510,33270,55980
Driver/Sales Workers,31970,18360,22570,37810
Heavy and Tractor-Trailer Truck Drivers,50340,30710,38570,59950
Light Truck Drivers,42630,24380,30350,48790
Passenger Vehicle Drivers,39640,22810,29280,47960
"Bus Drivers, School",38750,19860,29490,47520
"Bus Drivers, Transit and Intercity",51310,30290,38080,62400
Shuttle Drivers and Chauffeurs,32570,22710,26420,37010
Taxi Drivers,30050,21010,23950,33620
Miscellaneous Motor Vehicle Operators,36410,20470,24710,45790
"Motor Vehicle Operators, All Other",36410,20470,24710,45790
Rail Transportation Workers,68330,48120,61000,81350
Locomotive Engineers and Operators,71410,48120,61430,81910
Locomotive Engineers,72940,48780,62410,82050
"Rail Yard Engineers, Dinkey Operators, and Hostlers",58070,38550,47350,64500
"Railroad Brake, Signal, and Switch Operators and Locomotive Firers",63050,44260,60620,64440
Railroad Conductors and Yardmasters,66990,48950,61220,77710
Subway and Streetcar Operators,71520,48010,61000,81980
Miscellaneous Rail Transportation Workers,54140,34170,38400,63530
"Rail Transportation Workers, All Other",54140,34170,38400,63530
Water Transportation Workers,80780,30490,42320,99340
Sailors and Marine Oilers,57800,29120,35380,61430
Ship and Boat Captains and Operators,94250,34520,50640,111910
"Captains, Mates, and Pilots of Water Vessels",98330,37240,59400,122520
Motorboat Operators,44410,28350,32620,51020
Ship Engineers,96910,49420,64330,105910
Other Transportation Workers,35900,22670,26450,37760
Bridge and Lock Tenders,44760,27400,28690,59250
Parking Attendants,29210,19970,23410,31110
Transportation Service Attendants,30810,23080,25270,34420
Automotive and Watercraft Service Attendants,29960,22980,24960,31030
Aircraft Service Attendants,38640,27920,29990,44670
Traffic Technicians,53210,36450,38500,61920
Transportation Inspectors,77620,37030,50780,98280
Passenger Attendants,34380,24930,29210,38980
Miscellaneous Transportation Workers,39990,23250,29520,48540
"Transportation Workers, All Other",39990,23250,29520,48540
Material Moving Workers,34900,23570,28880,38080
Conveyor Operators and Tenders,37010,28790,29650,40490
Crane and Tower Operators,65270,37490,48140,77930
Dredge Operators,50530,35440,38250,61740
Hoist and Winch Operators,58450,30560,37820,77980
Industrial Truck and Tractor Operators,40950,29860,36000,47230
Laborers and Material Movers,33570,23550,28560,37720
Cleaners of Vehicles and Equipment,30550,21890,24180,34620
"Laborers and Freight, Stock, and Material Movers, Hand",34950,24180,29240,37970
Machine Feeders and Offbearers,36660,26480,29920,39460
"Packers and Packagers, Hand",30950,23030,26090,36060
Stockers and Order Fillers,33020,23460,28350,37470
Pumping Station Operators,62590,36910,47300,78390
Gas Compressor and Gas Pumping Station Operators,67130,38490,49400,80500
"Pump Operators, Except Wellhead Pumpers",54400,34120,38830,64740
Wellhead Pumpers,67170,38590,49790,79520
Refuse and Recyclable Material Collectors,42780,24950,30270,48870
"Tank Car, Truck, and Ship Loaders",55330,33090,38570,77610
Miscellaneous Material Moving Workers,40190,28450,29960,47380
"Material Moving Workers, All Other",40190,28450,29960,47380
